[0.014s] Invoking command in '/home/wtr/programs/cpp/ros2/jaka/src/build/jaka_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/wtr/programs/cpp/ros2/jaka/src/build/jaka_description -- -j8 -l8
[0.051s] Invoked command in '/home/wtr/programs/cpp/ros2/jaka/src/build/jaka_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/wtr/programs/cpp/ros2/jaka/src/build/jaka_description -- -j8 -l8
[0.061s] Invoking command in '/home/wtr/programs/cpp/ros2/jaka/src/build/jaka_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/wtr/programs/cpp/ros2/jaka/src/build/jaka_description
[0.070s] -- Install configuration: "Debug"
[0.070s] -- Execute custom install script
[0.070s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_a12.urdf
[0.070s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_a5.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_c12.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_c5.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_c7.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_minicobo.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_pro12.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_pro16.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_pro18.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_pro5.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_pro7.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_s12.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_s5.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_s7.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_zu12.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_zu18.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_zu20.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_zu3.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_zu30.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_zu5.urdf
[0.071s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/urdf/jaka_zu7.urdf
[0.072s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a12_meshes/J1.STL
[0.073s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a12_meshes/J2.STL
[0.073s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a12_meshes/J3.STL
[0.074s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a12_meshes/J4.STL
[0.074s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a12_meshes/J5.STL
[0.074s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a12_meshes/J6.STL
[0.074s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a12_meshes/base_link.STL
[0.074s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a5_meshes/J1.STL
[0.074s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a5_meshes/J2.STL
[0.075s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a5_meshes/J3.STL
[0.075s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a5_meshes/J4.STL
[0.075s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a5_meshes/J5.STL
[0.075s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a5_meshes/J6.STL
[0.076s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_a5_meshes/base_link.STL
[0.076s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c12_meshes/Link_01.STL
[0.076s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c12_meshes/Link_02.STL
[0.076s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c12_meshes/Link_03.STL
[0.076s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c12_meshes/Link_04.STL
[0.076s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c12_meshes/Link_05.STL
[0.076s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c12_meshes/Link_06.STL
[0.076s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c12_meshes/base_link.STL
[0.076s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c5_meshes/Link_00.STL
[0.076s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c5_meshes/Link_01.STL
[0.076s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c5_meshes/Link_02.STL
[0.077s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c5_meshes/Link_03.STL
[0.077s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c5_meshes/Link_04.STL
[0.077s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c5_meshes/Link_05.STL
[0.077s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c5_meshes/Link_06.STL
[0.077s] -- Up-to-date symlink: /home/wtr/programs/cpp/ros2/jaka/src/install/jaka_description/share/jaka_description/meshes/jaka_c7_meshes/Link_00.STL
